"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 03 11:48:54 CST 2021","Thu Jun 03 11:48:55 CST 2021","234","test_case","test_material_management","TestGoods","","","price:临调价为0","临调价为0"
"passed","Thu Jun 03 11:49:06 CST 2021","Thu Jun 03 11:49:06 CST 2021","180","test_case","test_order_management","TestAdhocOrder","","","收货方式为空",""
"passed","Thu Jun 03 11:48:53 CST 2021","Thu Jun 03 11:48:53 CST 2021","69","test_case","test_material_management","TestGoods","","","Edit：存储条件为空","存储条件为空"
"passed","Thu Jun 03 11:49:15 CST 2021","Thu Jun 03 11:49:15 CST 2021","221","test_case","test_order_management","TestAdhocOrder","","","id错误",""
"passed","Thu Jun 03 11:48:51 CST 2021","Thu Jun 03 11:48:51 CST 2021","119","test_case","test_material_management","TestGoods","","","Edit：物资类别为空","物资类别为空"
"passed","Thu Jun 03 11:48:49 CST 2021","Thu Jun 03 11:48:49 CST 2021","254","test_case","test_material_management","TestGoods","","","注册证号为空","注册证号为空"
"passed","Thu Jun 03 11:48:53 CST 2021","Thu Jun 03 11:48:53 CST 2021","75","test_case","test_material_management","TestGoods","","","Edit：注册证照为空","注册证照为空"
"passed","Thu Jun 03 11:48:51 CST 2021","Thu Jun 03 11:48:51 CST 2021","304","test_case","test_material_management","TestGoods","","","注册证已失效","注册证已失效"
"passed","Thu Jun 03 11:49:15 CST 2021","Thu Jun 03 11:49:15 CST 2021","164","test_case","test_order_management","TestAdhocOrder","","","套包数量为空",""
"passed","Thu Jun 03 11:48:51 CST 2021","Thu Jun 03 11:48:51 CST 2021","174","test_case","test_material_management","TestGoods","","","Edit：商品名为空","商品名为空"
"passed","Thu Jun 03 11:48:47 CST 2021","Thu Jun 03 11:48:47 CST 2021","107","test_case","test_material_management","TestGoods","","","生产企业为空","生产企业为空"
"passed","Thu Jun 03 11:49:04 CST 2021","Thu Jun 03 11:49:04 CST 2021","191","test_case","test_order_management","TestAdhocOrder","","","医院为空",""
"broken","Thu Jun 03 11:49:24 CST 2021","Thu Jun 03 11:49:24 CST 2021","0","test_case","test_purchase_management","TestAllocateOrder","","","经销商：驳回理由为空",""
"passed","Thu Jun 03 11:49:06 CST 2021","Thu Jun 03 11:49:06 CST 2021","189","test_case","test_order_management","TestAdhocOrder","","","年龄段为空",""
